indice|nombre|link
0|Tornillo_WC_piso|https://sodimac.falabella.com/sodimac-cl/product/110257009/Set-anclaje-Piso-WC/110257012
1|Llave_Bola_Jardin|https://articulo.mercadolibre.cl/MLC-524435497-llave-jardin-1-pulgada-valvula-de-bola-jardin-metalica-_JM
2|Silicona_Blanca_Pomo_85g_H-Full|https://herrerayherrera.cl/ficha/1866/silicona-multiuso-blanca-h-full
3|Silicona_Acetica_Transparente_Pomo_85g_H-Full|https://gevemac.cl/silicona-acetica-transparente-pomo-70-ml-caja-con-12-unidades/
4|Spray_Alta_Temperatura_Negro_H-Full|https://herrerayherrera.cl/ficha/1846/pintura-spray-negro-alta-temperatura-400ml
5|Bisagra_Dorada_1_Disp_Ferromat|https://www.artemart.cl/bisagra-1-displey-ferromat
6|Bisagra_Dorada_2_Disp_Ferromat|https://www.artemart.cl/bisagra-2-displey-ferromat
7|Bisagra_Dorada_1_1_2_Disp|https://www.dimasa.cl/producto/BIS0210
8|Bisagra_Dorada_3_4_Disp|http://www.uyustoolsiquique.cl/bisagra-rectangular-4-x3-x2mm-dorada-uyustools.html
9|soporte_simple_12mm|https://www.meriggi.cl/cromado-12-mm/72-soporte-simple-de-12-mm.html
10|Soporte_Simple_16mm|https://www.meriggi.cl/cromado-16-mm/73-soporte-simple-16-mm.html
11|soporte_doble_12mm|https://www.meriggi.cl/cromado-12-mm/69-soporte-doble-corto-12-mm.html
12|Bisagra_Dorada_3x3_Set_Ferromat|https://www.artemart.cl/bisagra-3x3-bolsa-3-und-ferrom
13|Bisagra_Dorada_3_1_2_Set|https://www.lioi.cl/producto/bisagra-l88-3-1-2-x-3-1-2-canto-redondo-acero-bronceado-con-tornillos-2-un/
14|Bisagra_Dorada_2_1_2_Disp_Ferromat|https://www.artemart.cl/bisagra-212-displey-ferromat
15|Tranca_2_Lioi|https://www.lioi.cl/producto/tranca-2-1-2-acero-zincado-sin-tornillos-12-un/
16|Tranca_2_1_2_Lioi|https://www.lioi.cl/producto/tranca-2-1-2-acero-zincado-sin-tornillos-12-un/
17|Tranca_3_Lioi|https://www.lioi.cl/producto/tranca-3-acero-zincado-sin-tornillos-12-un/
18|Parche_Piscina_X_10cm|https://articulo.mercadolibre.cl/MLC-539469693-parches-para-piscinas-bajo-el-agua-de-102-x-102-cm-_JM
19|Drywall_Madera_3_1_2|https://sodimac.falabella.com/sodimac-cl/product/113443696/Tornillo-drywall-madera-10-x-3-1-2-dacrotized-4unid/113443697
20|Drywall_Metal_2_1_2_100und|https://ferretotal.cl/producto/tornillo-roscalata-12-x-2-1-2-x-100-und/
21|Ducto_Flexible_4_1_Mtr|https://articulo.mercadolibre.cl/MLC-534553358-ducto-aluminio-flexible-4-x-1-mt-_JM
22|Ducto_Flexible_5_1_Mtrs|https://www.quema.cl/producto/ducto-ventilacion-black-5-127mm/
23|Ducto_Flexible_Pvc_Blanco_4_3mtros|https://www.easy.cl/ducto-secadora-4-3-m-flexible-blanco-isoplast-1261746/p
24|Embudo_Plastico|https://sodimac.falabella.com/sodimac-cl/product/110175788/Embudo-plastico/110175827
25|Alambre_Recosido_#14.|x
26|Enchufe_Macho_Eco_2_Patas|https://www.casaedison.cl/producto/enchufe-macho-plano-salida-recta-2-patas-10a-negro-mec/264
27|Enchufe_Macho_Eco_3_Patas|https://www.easy.cl/enchufe-macho-super-3-patas-10-amp-blanco-kalop-1183758/p
28|Alambre_Recosido_#18|x
29|Enchufe_Nevada_Triple_Grafito|https://articulo.mercadolibre.cl/MLC-1049519036-enchufe-embutido-triple-10a-grafitonoir-sinthesi-_JM
30|Enchufe_Simple_De_Embutir_10A|https://www.vitel.cl/enchufe-embutido-simple-modus-style-armado-10a-blanco/-perla/
31|Enchufe_Sobrepuesto_Doble_10A|https://www.guzman.cl/otros/10030-casquete-baquelita-aris-hembra-doble-10a-mec.html
32|Enchufe_Sobrepuesto_Doble_16A|https://eecol.cl/materiales-electricos/9121-enchufe-sobrepuesto-armado-doble-2pt-10-16a-250vac-blanco-bticino.html
33|Alambre_Galvanizado_#14|x
34|Enchufe_Sobrepuesto_Simple_16A|https://eecol.cl/materiales-electricos/5191-enchufe-sobrepuesto-armado-simple-2pt-16a-250v-blanco-genesis.html
35|Enchufe_Telefono_Embutir_Blanco|https://www.easy.cl/enchufe-telefono-rj-11-tekna-blanco-kalop-847549/p
36|Enchufe_Toscana_Dorado_Simple|https://www.tolivmarket.com/browse/chile/vitacura/ferreteria/rukafe-ferreteria-vitacura-1225/enchufe-simple-10a-dorado-a83-p06-art-dna-70442
37|Enchufe_Toscana_Simple_Champane|https://distritoled.cl/products/enchufe-simple-champagne
